Date,Price,Open,High,Low,Change %
05-May-19,60.45,61.34,61.34,60.32,-2.18%
03-May-19,61.8,61.63,62.45,61.24,0.29%
02-May-19,61.62,63.41,63.59,60.89,-2.82%
01-May-19,63.41,63.45,63.84,62.7,-0.11%
30-Apr-19,63.48,63.48,64.67,63.23,0.02%
29-Apr-19,63.47,62.76,63.61,62.39,1.10%
28-Apr-19,62.78,62.84,62.94,62.72,0.02%
26-Apr-19,62.77,64.86,64.97,62.2,-3.27%
25-Apr-19,64.89,65.65,66.19,64.83,-1.17%
24-Apr-19,65.66,65.92,66.33,65.57,-0.42%
23-Apr-19,65.94,65.69,66.5,65.48,0.41%
22-Apr-19,65.67,64.39,65.88,64.38,1.99%
21-Apr-19,64.39,63.98,64.42,63.98,0.67%
18-Apr-19,63.96,63.7,64.12,63.45,0.39%
17-Apr-19,63.71,64.33,64.56,63.65,-0.96%
16-Apr-19,64.33,63.47,64.41,62.98,1.37%
15-Apr-19,63.46,63.6,63.73,63.01,-0.24%
14-Apr-19,63.61,63.74,63.8,63.49,-0.19%
12-Apr-19,63.73,63.7,64.58,63.65,0.03%
11-Apr-19,63.71,64.28,64.37,63.24,-0.87%
10-Apr-19,64.27,64.08,64.61,63.98,0.28%
09-Apr-19,64.09,64.36,64.69,63.59,-0.40%
08-Apr-19,64.35,63.3,64.38,63.03,1.64%
07-Apr-19,63.31,63.23,63.38,63.22,0.24%
05-Apr-19,63.16,61.84,63.22,61.7,2.13%
04-Apr-19,61.84,62.27,62.63,61.77,-0.67%
03-Apr-19,62.26,62.34,62.83,61.95,-0.16%
02-Apr-19,62.36,61.59,62.59,61.45,1.27%
01-Apr-19,61.58,60.18,61.62,60.17,2.34%
31-Mar-19,60.17,59.97,60.23,59.97,0.32%
29-Mar-19,59.98,59.3,60.51,59.22,1.15%
28-Mar-19,59.3,59.11,59.38,58.01,0.30%
27-Mar-19,59.12,59.63,59.98,58.59,-0.84%
26-Mar-19,59.62,58.9,60.1,58.9,1.19%
25-Mar-19,58.92,58.55,59.09,57.94,0.61%
24-Mar-19,58.56,58.62,58.63,58.49,-0.22%
22-Mar-19,58.69,59.66,59.78,58.02,-1.59%
21-Mar-19,59.64,59.81,60.09,59.39,-0.27%
20-Mar-19,59.8,58.91,59.98,58.3,1.49%
19-Mar-19,58.92,59.03,59.53,58.61,-0.22%
18-Mar-19,59.05,58.41,59.2,58.02,1.10%
17-Mar-19,58.41,58.47,58.48,58.39,0.12%
15-Mar-19,58.34,58.47,58.87,57.69,-0.24%
14-Mar-19,58.48,58.24,58.64,57.91,0.43%
13-Mar-19,58.23,57.05,58.38,56.91,2.05%
12-Mar-19,57.06,56.84,57.42,56.66,0.33%
11-Mar-19,56.87,56.02,56.95,55.92,1.52%
10-Mar-19,56.02,56.05,56.14,56.02,0.29%
08-Mar-19,55.86,56.27,56.3,54.37,-0.75%
07-Mar-19,56.28,55.94,56.8,55.91,0.59%
06-Mar-19,55.95,55.95,56.2,55.28,-0.05%
05-Mar-19,55.98,56.21,56.97,55.88,-0.43%
04-Mar-19,56.22,55.77,56.77,55.59,0.79%
03-Mar-19,55.78,55.66,56.05,55.62,0.50%
01-Mar-19,55.5,56.92,57.56,55.32,-2.53%
28-Feb-19,56.94,56.69,57.13,56.16,0.42%
27-Feb-19,56.7,55.74,57.09,55.44,1.74%
26-Feb-19,55.73,55.16,55.77,54.73,1.05%
25-Feb-19,55.15,57.02,57.2,54.79,-3.28%
24-Feb-19,57.02,56.8,57.02,56.8,0.49%
22-Feb-19,56.74,56.48,57.44,56.45,0.44%
21-Feb-19,56.49,56.84,57.19,56.28,-0.60%
20-Feb-19,56.83,56.47,57.62,55.86,1.65%
19-Feb-19,55.91,55.87,56.23,55.28,0.09%
18-Feb-19,55.86,55.88,56.3,55.72,-0.09%
17-Feb-19,55.91,55.76,55.97,55.7,0.27%
15-Feb-19,55.76,54.52,55.76,54.2,2.27%
14-Feb-19,54.52,53.91,54.62,53.05,1.11%
13-Feb-19,53.92,53.41,54.52,53.22,0.95%
12-Feb-19,53.41,52.34,53.97,52.3,2.04%
11-Feb-19,52.34,52.41,52.56,51.17,-0.13%
10-Feb-19,52.41,52.59,52.68,52.41,-0.36%
08-Feb-19,52.6,52.37,52.88,51.98,0.42%
07-Feb-19,52.38,53.84,54.08,51.69,-2.69%
06-Feb-19,53.83,53.63,54.16,52.74,0.35%
05-Feb-19,53.64,54.59,55.05,53.36,-1.74%
04-Feb-19,54.59,55.08,55.58,53.16,-0.85%
03-Feb-19,55.06,55.13,55.27,54.98,-0.20%
01-Feb-19,55.17,53.7,55.43,53.2,2.72%
31-Jan-19,53.71,54.3,55.16,53.44,-1.05%
30-Jan-19,54.28,53.12,54.72,52.91,2.18%
29-Jan-19,53.12,51.85,53.7,51.65,2.43%
28-Jan-19,51.86,53.06,53.38,51.13,-2.24%
27-Jan-19,53.05,53.38,53.41,53.04,-0.47%
25-Jan-19,53.3,52.84,53.67,52.67,0.87%
24-Jan-19,52.84,52.22,53.2,51.86,1.23%
23-Jan-19,52.2,52.63,53.37,51.62,-0.80%
22-Jan-19,52.62,53.98,54.03,51.8,-2.47%
21-Jan-19,53.95,53.37,54.19,53.29,1.11%
20-Jan-19,53.36,53.67,53.77,53.28,-0.58%
18-Jan-19,53.67,52.16,53.83,52.16,2.88%
17-Jan-19,52.17,52.22,52.55,50.98,-0.11%
16-Jan-19,52.23,51.86,52.49,51.26,0.69%
15-Jan-19,51.87,50.66,52.27,50.64,2.43%
14-Jan-19,50.64,51.77,51.89,50.38,-2.20%
