Date,Price,Open,High,Low,Change %
08-May-19,14.845,14.91,14.994,14.818,-0.47%
07-May-19,14.915,14.915,14.963,14.779,-0.07%
06-May-19,14.925,14.925,14.988,14.748,-0.07%
03-May-19,14.935,14.63,15.001,14.577,2.05%
02-May-19,14.635,14.69,14.746,14.547,-0.34%
01-May-19,14.685,14.945,14.966,14.594,-1.74%
30-Apr-19,14.945,14.925,15.039,14.798,0.20%
29-Apr-19,14.915,15.078,15.094,14.866,-1.13%
26-Apr-19,15.085,14.942,15.1,14.915,0.94%
25-Apr-19,14.945,14.94,15.033,14.84,0.03%
24-Apr-19,14.94,14.83,15.012,14.775,0.78%
23-Apr-19,14.825,15.019,15.062,14.737,-1.20%
22-Apr-19,15.005,15.018,15.099,14.982,0.33%
19-Apr-19,14.955,14.955,14.955,14.955,-0.37%
18-Apr-19,15.01,14.99,15.053,14.916,0.03%
17-Apr-19,15.005,15.005,15.122,14.908,0.17%
16-Apr-19,14.98,14.985,15.044,14.866,-0.17%
15-Apr-19,15.005,14.979,15.06,14.836,0.20%
12-Apr-19,14.975,14.965,15.14,14.937,0.07%
11-Apr-19,14.965,15.245,15.28,14.898,-1.64%
10-Apr-19,15.215,15.23,15.319,15.129,-0.07%
09-Apr-19,15.225,15.255,15.349,15.196,-0.20%
08-Apr-19,15.255,15.115,15.323,15.103,0.99%
05-Apr-19,15.105,15.15,15.233,15.066,-0.33%
04-Apr-19,15.155,15.145,15.2,14.897,0.07%
03-Apr-19,15.145,15.12,15.22,15.02,0.13%
02-Apr-19,15.125,15.105,15.138,14.926,0.07%
01-Apr-19,15.115,15.13,15.235,15.038,-0.20%
29-Mar-19,15.145,14.995,15.225,14.965,0.87%
28-Mar-19,15.015,15.325,15.345,14.973,-1.83%
27-Mar-19,15.295,15.433,15.498,15.247,-0.91%
26-Mar-19,15.435,15.55,15.572,15.385,-0.71%
25-Mar-19,15.545,15.425,15.599,15.384,0.78%
22-Mar-19,15.425,15.465,15.577,15.348,-0.32%
21-Mar-19,15.475,15.48,15.661,15.365,0.13%
20-Mar-19,15.455,15.365,15.579,15.25,0.55%
19-Mar-19,15.37,15.35,15.47,15.299,-0.58%
18-Mar-19,15.46,15.295,15.46,15.212,1.13%
15-Mar-19,15.288,15.18,15.414,15.165,0.64%
14-Mar-19,15.19,15.455,15.475,15.117,-1.75%
13-Mar-19,15.46,15.44,15.56,15.411,0.06%
12-Mar-19,15.45,15.34,15.495,15.295,0.78%
11-Mar-19,15.33,15.295,15.375,15.197,0.00%
08-Mar-19,15.33,15.026,15.387,14.998,2.02%
